,File,Folder
0,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\ReportInvoice.pdf,admin
1,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\RSO Mailer May 2022.pdf,rso
2,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\RSO Mailer.zip,rso
3,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\SC-00007761 THE FAX PARTNERSHIP ECF_Updated041223.pdf,comm
4,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\Statement of Household Income Demographics.doc,motel
5,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\Storm Drainage Invoice.pdf,admin
6,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\S_S_Westerner Motels Budget.xlsx,motel
7,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\The Fax_C-District_Collective Invoice_August 2022.pdf,admin
8,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\The FAX_Small_businessLoans_options.pdf,bso
9,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\Unique Businesses Attended Breakfasts _ Events.xlsx,bso
10,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\Urban Land Conservancy Support Letter.docx,edo
11,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 CDBG submitted Invoices\Jan THE FAX PARTNERSHIP_DEDO_Jan_ Invoicing ECF.xlsx,admin
12,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Sand _ Sage Booking-Reservations Transaction\Sand_Sage ReservationTransactions.xlsx,motel
13,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Sand _ Sage Booking-Reservations Transaction\Xerox Scan_11292022145240.pdf,motel
14,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Dec\S_S_Dec 1,2,3,4.pdf",motel
15,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Accounting\Sand _ Sage\Scanned Reservations Sheets\Dec\S_S_Dec 13,14.pdf",motel
